date,file_dimension,file_down_url,file_format,file_size,file_stored_name,file_title_web,file_urls,root_url,time
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/1996.xls?sfvrsn=16f4cfc2_2,XLS,91.00,1996,CUADROS ESTADÍSTICOS / Base junio 1992=100,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/1996.xls?sfvrsn=16f4cfc2_2,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-precios-al-por-mayor,23:31:56
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2016.pdf?sfvrsn=afd8c34_3,PDF,10.64,Informe Anual de Medio Ambiente 2016,PUBLICACIONES / Informe anual de medio ambiente,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2016.pdf?sfvrsn=afd8c34_3,https://www.ine.gob.cl/estadisticas/economia/energia-y-medioambiente/variables-basicas-ambientales,23:31:56
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-junio-de-2022.pdf?sfvrsn=5a23eaf4_4,PDF,422.87,boletín-índice-de-costos-del-transporte-ict-junio-de-2022,BOLETINES / 2022,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-junio-de-2022.pdf?sfvrsn=5a23eaf4_4,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-costos-del-transporte,23:31:56
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/estimaciones-y-proyecciones-2002-2035-comuna-y-%C3%A1rea-urbana-y-rural.csv?sfvrsn=62ba4af3_4&download=true,CSV,4.56,Estimaciones y proyecciones 2002-2035 comuna y área urbana y rural,CUADROS ESTADÍSTICOS / Proyecciones anteriores,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/estimaciones-y-proyecciones-2002-2035-comuna-y-%C3%A1rea-urbana-y-rural.csv?sfvrsn=62ba4af3_4&download=true,https://www.ine.gob.cl/estadisticas/sociales/demografia-y-vitales/proyecciones-de-poblacion,23:31:56
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/comites-y-notas-tecnicas/base-enero-2010-septiembre-2012/separata-t%C3%A9cnica-irci.pdf?sfvrsn=c70fef77_6,PDF,228.40,Separata Técnica IRCI Enero 2013,COMITÉS Y NOTAS TÉCNICAS / Base enero 2010 - septiembre 2012,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/comites-y-notas-tecnicas/base-enero-2010-septiembre-2012/separata-t%C3%A9cnica-irci.pdf?sfvrsn=c70fef77_6,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indices-referenciales-de-costos-de-las-isapre,23:31:56
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/2000.xls?sfvrsn=ab84f68f_2,XLS,94.50,2000,CUADROS ESTADÍSTICOS / Base junio 1992=100,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/2000.xls?sfvrsn=ab84f68f_2,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-precios-al-por-mayor,23:31:56
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2015.pdf?sfvrsn=1d20f655_3,PDF,10.83,Informe Anual de Medio Ambiente 2015,PUBLICACIONES / Informe anual de medio ambiente,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2015.pdf?sfvrsn=1d20f655_3,https://www.ine.gob.cl/estadisticas/economia/energia-y-medioambiente/variables-basicas-ambientales,23:31:56
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-mayo-de-2022.pdf?sfvrsn=eaee4087_5,PDF,419.49,boletín-índice-de-costos-del-transporte-ict-mayo-de-2022,BOLETINES / 2022,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-mayo-de-2022.pdf?sfvrsn=eaee4087_5,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-costos-del-transporte,23:31:56
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_comunas0381d25bc2224f51b9770a705a434b74.csv?sfvrsn=b6e930a7_3&download=true,CSV,9.32,Estimaciones y proyecciones 2002-2035 comunas,CUADROS ESTADÍSTICOS / Proyecciones anteriores,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_comunas0381d25bc2224f51b9770a705a434b74.csv?sfvrsn=b6e930a7_3&download=true,https://www.ine.gob.cl/estadisticas/sociales/demografia-y-vitales/proyecciones-de-poblacion,23:31:56
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/comites-y-notas-tecnicas/base-enero-2010-septiembre-2012/separata-t%C3%A9cnica-marzo-2013.pdf?sfvrsn=c4864bc1_6,PDF,257.62,Separata Técnica IRCI Marzo 2013,COMITÉS Y NOTAS TÉCNICAS / Base enero 2010 - septiembre 2012,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/comites-y-notas-tecnicas/base-enero-2010-septiembre-2012/separata-t%C3%A9cnica-marzo-2013.pdf?sfvrsn=c4864bc1_6,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indices-referenciales-de-costos-de-las-isapre,23:31:56
