date,time,root_url,file_name,file_down_url,files
2022-11-18,12:43:06,https://www.ine.cl/estadisticas/economia/edificacion-y-construccion/permisos-de-edificacion,Boletín sectores económicos Permisos de Edificación Autorizada enero 2019,http://www.ine.cl/docs/default-source/permisos-de-edificacion/boletines/2019/bolet%C3%ADn-sectores-econ%C3%B3micos-permisos-de-edificaci%C3%B3n-autorizada-enero-2019.pdf?sfvrsn=84b473e7_6,
2022-11-18,12:43:06,https://www.ine.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-precios-de-productor,Boletín Índice de Precios de Productor (IPP) Industrias Agosto 2022,http://www.ine.cl/docs/default-source/indice-de-precios-de-productor/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-precios-de-productor-(ipp)-industrias-agosto-2022.pdf?sfvrsn=da8569be_5,
2022-11-18,12:43:06,https://www.ine.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-precios-de-productor,Boletín Índice de Precios de Productor (IPP) Industrias Julio 2022,http://www.ine.cl/docs/default-source/indice-de-precios-de-productor/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-precios-de-productor-(ipp)-industrias-julio-2022.pdf?sfvrsn=28cc8aad_4,
2022-11-18,12:43:06,https://www.ine.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-precios-de-productor,Boletín Índice de Precios de Productor (IPP) Industrias Septiembre 2022,http://www.ine.cl/docs/default-source/indice-de-precios-de-productor/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-precios-de-productor-(ipp)-industrias-septiembre-2022.pdf?sfvrsn=7db53419_4,
2022-11-18,12:43:06,https://www.ine.cl/estadisticas/economia/comercio-servicios-y-turismo/ventas-de-supermercados,Informe anual 2007,http://www.ine.cl/docs/default-source/ventas-de-supermercados/publicaciones/base-promedio-ano-2005-100/informe-anual-2007.pdf?sfvrsn=3b5fbb39_3,
2022-11-18,12:43:06,https://www.ine.cl/estadisticas/economia/comercio-servicios-y-turismo/ventas-de-supermercados,Informe anual 2008,http://www.ine.cl/docs/default-source/ventas-de-supermercados/publicaciones/base-promedio-ano-2005-100/informe-anual-2008.pdf?sfvrsn=44fe0428_3,
2022-11-18,12:43:06,https://www.ine.cl/estadisticas/economia/comercio-servicios-y-turismo/ventas-de-supermercados,Informe anual 2009,http://www.ine.cl/docs/default-source/ventas-de-supermercados/publicaciones/base-promedio-ano-2005-100/informe-anual-2009.pdf?sfvrsn=acc5af4e_3,
2022-11-18,12:43:06,https://www.ine.cl/estadisticas/sociales/ingresos-y-gastos/encuesta-de-presupuestos-familiares,Informe de Principales Resultados VIII EPF,http://www.ine.cl/docs/default-source/encuesta-de-presupuestos-familiares/publicaciones-y-anuarios/viii-epf---(julio-2016---junio-2017)/informe-de-principales-resultados-viii-epf.pdf?sfvrsn=d5bd824f_2,
2022-11-18,12:43:06,https://www.ine.cl/estadisticas/sociales/ingresos-y-gastos/encuesta-de-presupuestos-familiares,Presentacion del Director Nacional sobre Resultados VIII EPF,http://www.ine.cl/docs/default-source/encuesta-de-presupuestos-familiares/publicaciones-y-anuarios/viii-epf---(julio-2016---junio-2017)/presentacion-del-director-nacional-sobre-resultados-viii-epf.pdf?sfvrsn=701d6d92_2,
2022-11-18,12:43:06,https://www.ine.cl/estadisticas/sociales/ingresos-y-gastos/encuesta-de-presupuestos-familiares,Síntesis de Resultados VIII EPF,http://www.ine.cl/docs/default-source/encuesta-de-presupuestos-familiares/publicaciones-y-anuarios/viii-epf---(julio-2016---junio-2017)/s%C3%ADntesis-de-resultados-viii-epf.pdf?sfvrsn=317508eb_2,
